"pais";"moeda_en";"moeda_pt";"moeda_es";"cod_moeda";"num_moeda";
"GUYANA";"Guyana Dollar";"Dólar da Guiana";"Dólar guyanés";"GYD";328;
"HAITI";"Gourde";"Gourde";"Gourde";"HTG";332;
"HONDURAS";"Lempira";"Lempira";"Lempira";"HNL";340;
"HONG KONG";"Hong Kong Dollar";"Dólar de Hong Kong";"Dólar de Hong Kong";"HKD";344;
"HUNGARY";"Forint";"Forint";"Forinto húngaro";"HUF";348;
"ICELAND";"Iceland Krona";"Coroa da Islândia";"Corona islandesa";"ISK";352;
"BHUTAN";"Indian Rupee";"Rupia indiana";"Rupia india";"INR";356;
"INDIA";"Indian Rupee";"Rupia indiana";"Rupia india";"INR";356;
"INDONESIA";"Rupiah";"Rupia";"Rupia indonesia";"IDR";360;
"IRAN (ISLAMIC REPUBLIC OF)";"Iranian Rial";"Rial iraniano";"Rial iraní";"IRR";364;
"IRAQ";"Iraqi Dinar";"Dinar iraquiano";"Dinar iraquí";"IQD";368;
"ISRAEL";"New Israeli Sheqel";"Novo Sheqel israelense";"Nuevo séquel";"ILS";376;
"JAMAICA";"Jamaican Dollar";"Dólar jamaicano";"Dólar jamaiquino";"JMD";388;
"JAPAN";"Yen";"Iene";"Yen";"JPY";392;
"KAZAKHSTAN";"Tenge";"Tenge";"Tenge kazajo";"KZT";398;
"JORDAN";"Jordanian Dinar";"Dinar jordaniano";"Dinar jordano";"JOD";400;
"KENYA";"Kenyan Shilling";"Xelim do Quênia";"Chelín keniano";"KES";404;
"KOREA (THE DEMOCRATIC PEOPLE’S REPUBLIC OF)";"North Korean Won";"Won norte-coreano";"Won norcoreano";"KPW";408;
"KOREA (THE REPUBLIC OF)";"Won";"Won";"Won";"KRW";410;
"KUWAIT";"Kuwaiti Dinar";"O Dinar do Kuwait";"Dinar kuwaití";"KWD";414;
"KYRGYZSTAN";"Som";"Som";"Som";"KGS";417;
"LAO PEOPLE’S DEMOCRATIC REPUBLIC (THE)";"Kip";"Kip";"Kip laosiano";"LAK";418;
"LEBANON";"Lebanese Pound";"Libra libanesa";"Libra libanesa";"LBP";422;
"LESOTHO";"Loti";"Loti";"Loti";"LSL";426;
"LIBERIA";"Liberian Dollar";"Dólar liberiano";"Dólar liberiano";"LRD";430;
"LIBYA";"Libyan Dinar";"Dinar da Líbia";"Dinar libio";"LYD";434;
"MACAO";"Pataca";"Pataca";"Pataca";"MOP";446;
"MALAWI";"Kwacha";"Kwacha";"Kwacha malauí";"MWK";454;
"MALAYSIA";"Malaysian Ringgit";"Ringgit da Malásia";"Ringgit malayo";"MYR";458;
"MALDIVES";"Rufiyaa";"Rufiyaa";"Rupia de maldivas";"MVR";462;
"MAURITIUS";"Mauritius Rupee";"Ouguiya";"Uguiya";"MRO";478;
"MEXICO";"Mexican Peso";"Rupia das Maurícias";"Rupia de Mauricio";"MUR";480;
"MONGOLIA";"Tugrik";"Peso mexicano";"Peso mexicano";"MXN";484;
"MOLDOVA (THE REPUBLIC OF)";"Moldovan Leu";"Tugrik";"Tugrik";"MNT";496;
"MOROCCO";"Moroccan Dirham";"Leão da Moldávia";"Leu Moldavo";"MDL";498;
"WESTERN SAHARA";"Moroccan Dirham";"Dirham marroquino";"Dírham marroquí";"MAD";504;
"OMAN";"Rial Omani";"Moroccan Dirham";"Dirham marroquí";"MAD";504;
"NAMIBIA";"Namibia Dollar";"Rial Omani";"Rial omaní";"OMR";512;
"NEPAL";"Nepalese Rupee";"Dólares da Namíbia";"Dólar de Namibia";"NAD";516;
"CURAÇAO";"Netherlands Antillean Guilder";"Rupia nepalesa";"Rupia nepalí";"NPR";524;
"SINT MAARTEN (DUTCH PART)";"Netherlands Antillean Guilder";"Guilder das Antilhas Holandesas";"Florín antillano neerlandés";"ANG";532;
"ARUBA";"Aruban Florin";"Guilder das Antilhas Holandesas";"Florín holandés";"ANG";532;
"VANUATU";"Vatu";"Florim de Aruba";"Florín arubeño";"AWG";533;
"COOK ISLANDS (THE)";"New Zealand Dollar";"Vatu";"Vatu";"VUV";548;
