;populacao_6
"CM";"229.80"
"CF";"31.40"
"TD";"73.20"
"CG";"69.70"
"CD";"232.30"
"GQ";"231.10"
"GA";"25.40"
"ST";"792.60"
"DZ";"34.80"
"EG";"243.70"
"LY";"5.70"
"MA";"131.30"
"SD";"92.40"
"TN";"102.30"
"EH";"5.30"
"BW";"8.80"
"LS";"171.40"
"NA";"9.20"
"ZA";"78.40"
"SZ";"204.30"
"BJ";"450.30"
"BF";"374.70"
"CV";"247.30"
"CI";"338.90"
"GM";"1.069.90"
"GH";"405.80"
"GN";"251.30"
"GW";"271.30"
"LR";"214.70"
"ML";"96.80"
"MR";"16.80"
"NE";"148.00"
"NG";"1.026.40"
"SH";"10.50"
"SN";"376.20"
"SL";"404.40"
"TG";"554.30"
"CN";"122.70"
"HK";"6.788.10"
"MO";"27.186.20"
"TW";"488.90"
"KP";"228.30"
"JP";"246.20"
"MN";"3.60"
"KR";"413.70"
"KZ";"11.20"
"KG";"61.50"
"TJ";"166.30"
"TM";"24.20"
"UZ";"118.10"
"AF";"260.20"
"BD";"1.902.90"
"BT";"31.90"
"IN";"684.70"
"IR";"58.50"
"MV";"2.294.10"
"NP";"323.70"
"PK";"674.80"
"LK";"342.20"
"BN";"107.60"
"KH";"170.50"
"ID";"217.90"
"LA";"59.80"
"MY";"149.10"
"MM";"112.00"
"PH";"731.40"
"SG";"8.665.40"
"TH";"114.90"
"TL";"416.80"
"VN";"370.60"
"AM";"84.10"
"AZ";"140.30"
"BH";"3.624.70"
"CY";"145.10"
"GE";"46.00"
"IQ";"357.40"
"IL";"812.30"
"JO";"274.60"
"KW";"356.70"
"LB";"516.30"
"OM";"31.00"
"QA";"376.80"
"SA";"28.10"
"PS";"3.153.90"
"SY";"288.20"
"TR";"140.30"
"AE";"178.90"
"YE";"195.60"
"BY";"36.40"
"BG";"38.20"
"CZ";"110.30"
"HU";"74.20"
"PL";"86.80"
"MD";"76.80"
"RO";"57.50"
"RU";"7.20"
"SK";"83.60"
"UA";"50.10"
"DK";"148.70"
"EE";"22.50"
"FO";"46.50"
"FI";"19.40"
"IS";"4.20"
"IE";"89.10"
"IM";"175.40"
"LV";"19.50"
"LT";"31.80"
"NO";"20.00"
"SE";"29.80"
"GB";"323.00"
"AL";"84.80"
"AD";"138.40"
"BA";"47.60"
"HR";"53.20"
"GI";"3.744.70"
"GR";"65.20"
"VA";"1.843.20"
"IT";"160.30"
"MT";"1.135.60"
"ME";"41.00"
"PT";"81.90"
"SM";"500.30"
"RS";"72.30"
"SI";"82.80"
"ES";"74.70"
"MK";"64.40"
"AT";"95.60"
"BE";"408.30"
"FR";"132.20"
"DE";"202.40"
"LI";"259.40"
"LU";"320.30"
"MC";"37.139.60"
"NL";"495.70"
"CH";"247.90"
"AI";"171.80"
"AG";"315.20"
"AW";"571.60"
"BS";"49.80"
"BB";"616.00"
"VG";"272.60"
"KY";"362.80"
"CU";"88.30"
"CW";"441.30"
"DM";"102.20"
"DO";"357.00"
"GD";"344.70"
"GP";"248.40"
"HT";"750.90"
"JM";"244.90"
"MQ";"321.30"
"MS";"57.40"
"PR";"317.60"
"KN";"259.10"
"LC";"275.80"
"VC";"294.60"
"SX";"1.697.90"
"TT";"239.60"
"TC";"58.80"
"VI";"260.30"
"BZ";"37.20"
"CR";"118.80"
"SV";"389.20"
"GT";"411.00"
"HN";"167.50"
"MX";"104.80"
"NI";"81.90"
"PA";"103.50"
"AR";"24.20"
"BO";"21.70"
"BR";"28.40"
"CL";"28.50"
"CO";"52.60"
"EC";"122.40"
"FK";"0.20"
"GF";"10.70"
"GY";"5.00"
"PY";"29.20"
"PE";"41.60"
"SR";"5.00"
"UY";"22.20"
"VE";"59.40"
"BM";"956.50"
"CA";"5.20"
"GL";"0.10"
"PM";"35.50"
"US";"44.60"
"AU";"5.00"
"NZ";"24.20"
"FJ";"67.10"
"NC";"25.30"
"PG";"51.20"
"SB";"66.20"
"VU";"61.00"
"FM";"287.50"
"GU";"419.90"
"KI";"346.10"
"MH";"702.90"
"FM";"269.90"
"NR";"587.10"
"MP";"100.90"
"PW";"66.90"
"AS";"373.20"
"CK";"89.50"
"PF";"98.10"
"NU";"8.70"
"WS";"138.50"
"TK";"240.90"
"TO";"291.90"
"TV";"711.50"
"WF";"85.80"
"BI";"679.50"
"KM";"604.00"
"DJ";"60.80"
"ER";"78.00"
"ET";"173.20"
"KE";"145.10"
"MG";"72.60"
"MW";"344.30"
"MU";"716.00"
"YT";"1.178.50"
"MZ";"60.90"
"RE";"404.40"
"RW";"791.70"
"SC";"203.40"
"SO";"34.10"
"SS";"32.10"
"UG";"359.60"
"TZ";"107.20"
"ZM";"38.30"
"ZW";"69.20"
"AO";"39.10"
"CM";"81.20"
"CF";"11.30"
"TD";"18.50"
"CG";"24.70"
"CD";"57.80"
"GQ";"88.10"
"GA";"12.00"
"ST";"276.70"
"DZ";"24.80"
"EG";"139.20"
"LY";"5.10"
"MA";"106.30"
"SD";"35.10"
"TN";"95.30"
"EH";"4.40"
"BW";"6.40"
"LS";"103.40"
"NA";"4.90"
"ZA";"64.50"
"SZ";"120.60"
"BJ";"154.00"
"BF";"109.10"
"CV";"203.00"
"CI";"115.10"
"GM";"315.40"
"GH";"186.40"
"GN";"81.90"
"GW";"98.90"
"LR";"76.70"
"ML";"22.80"
"MR";"6.60"
"NE";"27.70"
"NG";"313.00"
"SH";"12.30"
"SN";"128.70"
"SL";"153.60"
"TG";"215.90"
"CN";"158.50"
"HK";"9.613.20"
"MO";"37.273.10"
"TW";"749.30"
"KP";"245.50"
"JP";"321.20"
"MN";"2.50"
"KR";"587.60"
"KZ";"8.50"
"KG";"37.70"
"TJ";"91.20"
"TM";"16.20"
"UZ";"105.20"
"AF";"83.00"
"BD";"1.799.30"
"BT";"30.70"
"IN";"609.20"
"IR";"68.30"
"MV";"2.174.40"
"NP";"293.30"
"PK";"368.80"
"LK";"333.60"
"BN";"116.20"
"KH";"128.60"
"ID";"185.30"
"LA";"41.30"
"MY";"147.90"
"MM";"103.90"
"PH";"480.00"
"SG";"11.748.70"
"TH";"149.40"
"TL";"100.30"
"VN";"401.90"
"AM";"107.90"
"AZ";"144.90"
"BH";"3.551.10"
"CY";"191.30"
"GE";"48.30"
"IQ";"141.30"
"IL";"561.00"
"JO";"147.90"
"KW";"360.50"
"LB";"619.70"
"OM";"23.70"
"QA";"384.40"
"SA";"21.90"
"PS";"1.343.80"
"SY";"193.00"
"TR";"138.10"
"AE";"193.40"
"YE";"82.50"
"BY";"45.20"
"BG";"51.30"
"CZ";"142.40"
"HU";"105.10"
"PL";"122.40"
"MD";"119.90"
"RO";"77.00"
"RU";"8.70"
"SK";"115.30"
"UA";"68.20"
"DK";"169.90"
"EE";"28.20"
"FO";"38.90"
"FI";"21.70"
"IS";"4.30"
"IE";"91.30"
"IM";"194.70"
"LV";"25.90"
"LT";"40.30"
"NO";"21.90"
"SE";"31.80"
"GB";"347.90"
"AL";"102.40"
"AD";"192.90"
"BA";"68.10"
"HR";"69.50"
"GI";"4.073.40"
"GR";"88.20"
"VA";"2.670.50"
"IT";"205.90"
"MT";"1.507.20"
"ME";"48.40"
"PT";"113.90"
"SM";"680.90"
"RS";"91.90"
"SI";"101.60"
"ES";"100.10"
"MK";"85.20"
"AT";"123.00"
"BE";"456.80"
"FR";"136.50"
"DE";"262.60"
"LI";"317.00"
"LU";"386.40"
"MC";"33.735.60"
"NL";"566.50"
"CH";"302.70"
"AI";"198.90"
"AG";"309.10"
"AW";"652.60"
"BS";"56.60"
"BB";"699.20"
"VG";"266.30"
"KY";"400.80"
"CU";"105.20"
"CW";"445.00"
"DM";"108.60"
"DO";"286.60"
"GD";"325.00"
"GP";"255.00"
"HT";"501.40"
"JM";"245.80"
"MQ";"336.30"
"MS";"54.90"
"PR";"419.20"
"KN";"273.30"
"LC";"360.30"
"VC";"304.20"
"SX";"1.905.90"
"TT";"278.70"
"TC";"60.00"
"VI";"231.40"
"BZ";"28.70"
"CR";"131.40"
"SV";"372.40"
"GT";"258.20"
"HN";"132.30"
"MX";"95.50"
"NI";"73.50"
"PA";"82.60"
"AR";"21.40"
"BO";"14.80"
"BR";"32.80"
"CL";"31.70"
"CO";"56.80"
"EC";"98.50"
"FK";"0.20"
"GF";"6.40"
"GY";"3.80"
"PY";"23.40"
"PE";"34.90"
"SR";"4.20"
"UY";"22.60"
"VE";"51.00"
"BM";"1.174.10"
"CA";"6.20"
"GL";"0.10"
"PM";"34.40"
"US";"48.40"
